,Date,Ross,Chandler,BT1,BT2,BT3,BT4,BT5,GR1,GR2,GR3,GR4,GR5,Total,Saury,Blue_Runner,Squid,Mackerel,Herring,Sardine,Mazuri_Vitamins,Garlic,Salmon,Bonito,Bluefish,Mahi,Goggle_Eye,Humbolt_Squid,Temperature,covid,light_training,GroupFeed,Varied_Target,All_GR,All_BT,All_SS,male,female,Day_of_week,Month,Day
58,2018-03-18,2.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0,1,0,0,,2.0,3.0,3.0,2.0,6,3,18
59,2018-03-20,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8,0,1,1,0,1.0,6.0,1.0,5.0,3.0,1,3,20
60,2018-03-22,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0,1,1,0,0.0,2.0,0.0,1.0,1.0,3,3,22
61,2018-03-24,,,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.2,0,1,0,0,1.0,,,0.0,1.0,5,3,24
62,2018-03-25,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4,0,1,0,0,,0.0,3.0,3.0,0.0,6,3,25
63,2018-03-27,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8,0,1,1,0,1.0,1.0,3.0,3.0,2.0,1,3,27
64,2018-03-29,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4,0,1,1,0,0.0,3.0,0.0,2.0,1.0,3,3,29
65,2018-03-31,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4,0,1,0,0,0.0,,,0.0,0.0,5,3,31
66,2018-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4,0,1,0,1,,0.0,0.0,0.0,0.0,6,4,1
67,2018-04-03,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.6,0,1,1,1,1.0,6.0,0.0,2.0,5.0,1,4,3
68,2018-04-05,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4,0,1,1,1,2.0,2.0,1.0,3.0,2.0,3,4,5
69,2018-04-07,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.6,0,1,0,1,0.0,,,0.0,0.0,5,4,7
70,2018-04-08,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.6,0,1,0,1,,1.0,1.0,1.0,1.0,6,4,8
71,2018-04-10,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4,0,1,1,1,1.0,5.0,2.0,5.0,3.0,1,4,10
72,2018-04-12,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0,1,1,1,1.0,3.0,0.0,0.0,4.0,3,4,12
73,2018-04-14,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.8,0,1,0,1,0.0,,,0.0,0.0,5,4,14
74,2018-04-15,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,,,,,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.8,0,1,0,1,,4.0,0.0,2.0,2.0,6,4,15
75,2018-04-17,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4,0,1,1,1,2.0,3.0,0.0,2.0,3.0,1,4,17
76,2018-04-19,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4,0,1,1,1,0.0,2.0,2.0,2.0,2.0,3,4,19
77,2018-04-21,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.6,0,1,0,1,1.0,,,0.0,1.0,5,4,21
78,2018-04-22,,,0.0,0.0,0.0,2.0,0.0,,,,,,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4,0,1,0,1,,2.0,,0.0,2.0,6,4,22
